Author,Year,Title,Alloy(at. fraction),Preparation,anneal_temperature,anneal_time,Al,Nb,Ti,V,Zr,Cr,Mo,Hf,Ta,W,x(Al),x(Nb),x(Ti),x(V),x(Zr),x(Cr),x(Mo),x(Hf),x(Ta),x(W),Phase,Phase_content,Density_error,test_temperature,strain_rate,C(0)/T(1),Density,YS,YS_error,UTS,UTS_error,EL,EL_error,SYS,HV,HV_error
Hao Wang,2023,Lightweight Ti-Zr-Nb-Al-V refractory high-entropy alloys with superior strength-ductility synergy and corrosion resistance,Ti1.6ZrNbAl0.4,AM,0,0,0.4,1,1.6,0,1,0,0,0,0,0,10,25,40,0,25,0,0,0,0,0,3,bcc_A2+bcc_B2,0,25,0.001,1,5.92,865,6.6,869,2.1,12.8,0.5,146.0440231,0,0
Hao Wang,2023,Lightweight Ti-Zr-Nb-Al-V refractory high-entropy alloys with superior strength-ductility synergy and corrosion resistance,Ti1.6ZrNbV0.4,AM,0,0,0,1,1.6,0.4,1,0,0,0,0,0,0,25,40,10,25,0,0,0,0,0,1,bcc_A2,0,25,0.001,1,6.22,770,3.9,779,3.2,14.8,0.3,123.757468,0,0
Hao Wang,2023,Lightweight Ti-Zr-Nb-Al-V refractory high-entropy alloys with superior strength-ductility synergy and corrosion resistance,Ti1.6ZrNbAl0.2V0.2,AM,0,0,0.2,1,1.6,0.2,1,0,0,0,0,0,5,25,40,5,25,0,0,0,0,0,1,bcc_A2,0,25,0.001,1,6.07,806,7.3,816,1.5,13.2,0.5,132.7563768,0,0
Jiaojiao Yi,2021,"Lightweight, Refractory High-Entropy Alloy, CrNbTa0.25TiZr, with High Yield Strength",CrNbTa0.25TiZr,AM,0,0,0,1,1,0,1,1,0,0,0.25,0,0,23.53,23.53,0,23.53,23.53,0,0,5.88,0,2,bcc_A2+Laves,0,25,0.001,0,7.25,1800,0,0,0,2.9,0,248.2978932,0,0
Jiaojiao Yi,2021,"Lightweight, Refractory High-Entropy Alloy, CrNbTa0.25TiZr, with High Yield Strength",CrNbTa0.25TiZr,AM,1000,20,0,1,1,0,1,1,0,0,0.25,0,0,23.53,23.53,0,23.53,23.53,0,0,5.88,0,2,bcc_A2+Laves,0,25,0.001,0,7.25,1500,0,0,0,4,0,206.914911,0,0
Denis Klimenko,2021,Machine Learning-Based Strength Prediction for Refractory High-Entropy Alloys of the Al-Cr-Nb-Ti-V-Zr System,Al13Cr12Nb20Ti20V35,AM,1200,10,13,20,20,35,0,12,0,0,0,0,13,20,20,35,0,12,0,0,0,0,5,bcc_B2+Laves,0,25,0.0001,0,5.96,1295,0,0,0,16.6,0,217.28,540,0
Denis Klimenko,2021,Machine Learning-Based Strength Prediction for Refractory High-Entropy Alloys of the Al-Cr-Nb-Ti-V-Zr System,Al10Nb20Ti35V15Zr20,AM,1200,10,10,20,35,15,20,0,0,0,0,0,10,20,35,15,20,0,0,0,0,0,5,bcc_B2+Laves,0,25,0.0001,0,5.86,1323,0,0,0,0,0,225.77,556,0
Denis Klimenko,2021,Machine Learning-Based Strength Prediction for Refractory High-Entropy Alloys of the Al-Cr-Nb-Ti-V-Zr System,Al13Cr2Nb20Ti30V25Zr10,AM,1200,10,13,20,30,25,10,2,0,0,0,0,13,20,30,25,10,2,0,0,0,0,5,bcc_B2+Laves(C14)+Zr5Al3,0,25,0.0001,0,5.79,1290,0,0,0,13.8,0,222.8,489,0
Denis Klimenko,2021,Machine Learning-Based Strength Prediction for Refractory High-Entropy Alloys of the Al-Cr-Nb-Ti-V-Zr System,Al14Cr11Nb5Ti35V25Zr10,AM,1200,10,14,5,35,25,10,11,0,0,0,0,14,5,35,25,10,11,0,0,0,0,5,bcc_B2+Laves(C14)+Zr5Al3,0,25,0.0001,0,5.32,1608,0,0,0,1,0,302.26,650,0
Denis Klimenko,2021,Machine Learning-Based Strength Prediction for Refractory High-Entropy Alloys of the Al-Cr-Nb-Ti-V-Zr System,Al14Cr1Nb10Ti45V25Zr5,AM,1200,10,14,10,45,25,5,1,0,0,0,0,14,10,45,25,5,1,0,0,0,0,5,bcc_B2+Laves+hcp,0,25,0.0001,0,5.19,1316,0,0,0,0,0,253.56,553,0
